province_state,country_region,date,recovered
,Indonesia,2021-05-01,1526978
,Indonesia,2021-05-02,1530718
,Indonesia,2021-05-03,1535491
,Indonesia,2021-05-04,1541149
,Indonesia,2021-05-05,1547092
,Indonesia,2021-05-06,1552532
,Indonesia,2021-05-07,1558423
,Indonesia,2021-05-08,1563917
,Indonesia,2021-05-09,1568277
,Indonesia,2021-05-10,1574615
,Indonesia,2021-05-11,1580207
,Indonesia,2021-05-12,1584878
,Indonesia,2021-05-13,1589079
,Indonesia,2021-05-14,1592886
,Indonesia,2021-05-15,1597067
,Indonesia,2021-05-16,1600857
,Indonesia,2021-05-17,1606611
,Indonesia,2021-05-18,1612239
,Indonesia,2021-05-19,1616603
,Indonesia,2021-05-20,1621572
,Indonesia,2021-05-21,1621572
,Indonesia,2021-05-22,1621572
,Indonesia,2021-05-23,1633045
,Indonesia,2021-05-24,1638279
,Indonesia,2021-05-25,1642074
,Indonesia,2021-05-26,1645263
,Indonesia,2021-05-27,1649187
,Indonesia,2021-05-28,1654557
,Indonesia,2021-05-29,1659974
,Indonesia,2021-05-30,1663998
,Indonesia,2021-05-31,1669119
